"","Var1","Var2","value","L2"
"1","class 1: ","Pr(1)",0.126718415930129,"cbcl_scr_syn_anxdep_t"
"2","class 2: ","Pr(1)",0.985245112219497,"cbcl_scr_syn_anxdep_t"
"3","class 3: ","Pr(1)",0.540530516991816,"cbcl_scr_syn_anxdep_t"
"4","class 4: ","Pr(1)",0.873773809026743,"cbcl_scr_syn_anxdep_t"
"5","class 1: ","Pr(2)",0.87328158406978,"cbcl_scr_syn_anxdep_t"
"6","class 2: ","Pr(2)",0.0147548877805016,"cbcl_scr_syn_anxdep_t"
"7","class 3: ","Pr(2)",0.459469483008175,"cbcl_scr_syn_anxdep_t"
"8","class 4: ","Pr(2)",0.126226190973261,"cbcl_scr_syn_anxdep_t"
"9","class 1: ","Pr(1)",0.310320407424452,"cbcl_scr_syn_withdep_t"
"10","class 2: ","Pr(1)",0.97922906221338,"cbcl_scr_syn_withdep_t"
"11","class 3: ","Pr(1)",0.608975321011924,"cbcl_scr_syn_withdep_t"
"12","class 4: ","Pr(1)",0.779505901264562,"cbcl_scr_syn_withdep_t"
"13","class 1: ","Pr(2)",0.689679592575408,"cbcl_scr_syn_withdep_t"
"14","class 2: ","Pr(2)",0.0207709377866175,"cbcl_scr_syn_withdep_t"
"15","class 3: ","Pr(2)",0.391024678988068,"cbcl_scr_syn_withdep_t"
"16","class 4: ","Pr(2)",0.220494098735443,"cbcl_scr_syn_withdep_t"
"17","class 1: ","Pr(1)",0.463500990822161,"cbcl_scr_syn_somatic_t"
"18","class 2: ","Pr(1)",0.962640332543343,"cbcl_scr_syn_somatic_t"
"19","class 3: ","Pr(1)",0.630552104278791,"cbcl_scr_syn_somatic_t"
"20","class 4: ","Pr(1)",0.824402618060664,"cbcl_scr_syn_somatic_t"
"21","class 1: ","Pr(2)",0.536499009177646,"cbcl_scr_syn_somatic_t"
"22","class 2: ","Pr(2)",0.0373596674566542,"cbcl_scr_syn_somatic_t"
"23","class 3: ","Pr(2)",0.369447895721202,"cbcl_scr_syn_somatic_t"
"24","class 4: ","Pr(2)",0.175597381939334,"cbcl_scr_syn_somatic_t"
"25","class 1: ","Pr(1)",0.221694394092354,"cbcl_scr_syn_social_t"
"26","class 2: ","Pr(1)",0.99722963183436,"cbcl_scr_syn_social_t"
"27","class 3: ","Pr(1)",0.838786107578493,"cbcl_scr_syn_social_t"
"28","class 4: ","Pr(1)",0.770902928546173,"cbcl_scr_syn_social_t"
"29","class 1: ","Pr(2)",0.778305605907559,"cbcl_scr_syn_social_t"
"30","class 2: ","Pr(2)",0.00277036816563885,"cbcl_scr_syn_social_t"
"31","class 3: ","Pr(2)",0.161213892421503,"cbcl_scr_syn_social_t"
"32","class 4: ","Pr(2)",0.22909707145383,"cbcl_scr_syn_social_t"
"33","class 1: ","Pr(1)",0.123363279477597,"cbcl_scr_syn_thought_t"
"34","class 2: ","Pr(1)",0.985412535010798,"cbcl_scr_syn_thought_t"
"35","class 3: ","Pr(1)",0.620477325115516,"cbcl_scr_syn_thought_t"
"36","class 4: ","Pr(1)",0.566213128415676,"cbcl_scr_syn_thought_t"
"37","class 1: ","Pr(2)",0.876636720522312,"cbcl_scr_syn_thought_t"
"38","class 2: ","Pr(2)",0.0145874649892003,"cbcl_scr_syn_thought_t"
"39","class 3: ","Pr(2)",0.379522674884476,"cbcl_scr_syn_thought_t"
"40","class 4: ","Pr(2)",0.433786871584329,"cbcl_scr_syn_thought_t"
"41","class 1: ","Pr(1)",0.193043888819014,"cbcl_scr_syn_attention_t"
"42","class 2: ","Pr(1)",0.980801959495889,"cbcl_scr_syn_attention_t"
"43","class 3: ","Pr(1)",0.712372851996412,"cbcl_scr_syn_attention_t"
"44","class 4: ","Pr(1)",0.475099478828392,"cbcl_scr_syn_attention_t"
"45","class 1: ","Pr(2)",0.806956111180896,"cbcl_scr_syn_attention_t"
"46","class 2: ","Pr(2)",0.0191980405041081,"cbcl_scr_syn_attention_t"
"47","class 3: ","Pr(2)",0.28762714800358,"cbcl_scr_syn_attention_t"
"48","class 4: ","Pr(2)",0.524900521171615,"cbcl_scr_syn_attention_t"
"49","class 1: ","Pr(1)",0.464218661013841,"cbcl_scr_syn_rulebreak_t"
"50","class 2: ","Pr(1)",0.989308383014693,"cbcl_scr_syn_rulebreak_t"
"51","class 3: ","Pr(1)",0.992857733475211,"cbcl_scr_syn_rulebreak_t"
"52","class 4: ","Pr(1)",0.170788862672539,"cbcl_scr_syn_rulebreak_t"
"53","class 1: ","Pr(2)",0.535781338985964,"cbcl_scr_syn_rulebreak_t"
"54","class 2: ","Pr(2)",0.0106916169853056,"cbcl_scr_syn_rulebreak_t"
"55","class 3: ","Pr(2)",0.00714226652478798,"cbcl_scr_syn_rulebreak_t"
"56","class 4: ","Pr(2)",0.829211137327489,"cbcl_scr_syn_rulebreak_t"
"57","class 1: ","Pr(1)",0.186264123026037,"cbcl_scr_syn_aggressive_t"
"58","class 2: ","Pr(1)",0.992660791575988,"cbcl_scr_syn_aggressive_t"
"59","class 3: ","Pr(1)",0.823164591478617,"cbcl_scr_syn_aggressive_t"
"60","class 4: ","Pr(1)",0.336490203023461,"cbcl_scr_syn_aggressive_t"
"61","class 1: ","Pr(2)",0.813735876973875,"cbcl_scr_syn_aggressive_t"
"62","class 2: ","Pr(2)",0.00733920842401109,"cbcl_scr_syn_aggressive_t"
"63","class 3: ","Pr(2)",0.176835408521379,"cbcl_scr_syn_aggressive_t"
"64","class 4: ","Pr(2)",0.663509796976549,"cbcl_scr_syn_aggressive_t"
